outcome,throws
0,4
1,1
0,5
1,1
0,7
0,8
0,6
1,1
0,2
1,1
1,3
0,3
0,5
1,2
1,1
1,2
0,3
0,4
0,8
1,1
1,2
0,1
1,2
0,1
0,7
1,1
0,6
1,2
0,13
1,6
1,3
1,3
0,5
1,5
0,2
0,3
0,7
1,3
1,1
1,8
1,3
1,1
1,1
1,1
1,1
1,5
0,2
1,1
1,4
0,2
1,10
1,3
1,1
0,3
0,3
1,9
1,3
1,2
1,3
1,7
0,3
1,1
1,3
1,1
1,1
0,3
1,3
0,3
0,8
0,9
0,2
1,9
0,2
1,1
1,2
0,8
0,2
1,2
0,3
1,5
0,4
1,1
1,1
0,1
0,1
1,3
1,1
0,1
0,1
0,3
1,1
0,9
0,3
0,1
0,1
1,1
0,1
0,7
0,1
0,1
0,1
0,7
1,5
1,1
1,2
0,7
1,1
0,6
1,2
1,5
1,10
1,3
1,7
0,1
0,5
1,8
1,2
0,8
0,10
0,2
0,9
0,4
0,5
1,1
0,8
1,5
0,3
1,5
0,8
1,1
1,5
0,6
0,2
0,4
1,2
0,12
1,5
0,4
0,1
0,3
1,1
1,1
0,1
0,1
0,2
0,12
0,1
0,5
1,2
0,9
0,11
0,2
1,1
1,1
1,1
1,4
1,1
0,7
0,5
0,3
0,4
1,1
0,2
0,2
0,4
0,4
0,1
0,3
1,1
0,12
0,2
1,2
1,1
0,1
1,2
0,4
1,5
1,4
1,2
1,3
0,2
0,4
1,1
1,3
1,1
1,6
1,3
0,7
0,2
0,6
0,4
1,4
0,6
1,4
0,2
1,3
0,5
1,2
1,1
1,1
1,8
1,5
0,5
0,1
0,1
1,5
0,3
1,1
1,2
1,5
1,9
1,1
0,7
1,1
1,1
1,10
1,10
1,1
0,1
0,5
1,6
1,2
1,1
1,4
1,10
1,6
0,1
0,3
0,4
0,4
1,1
0,5
0,5
1,1
0,3
0,5
1,1
0,2
0,3
1,2
0,2
1,2
1,2
0,3
1,1
0,3
1,2
0,1
1,1
1,1
0,2
1,1
0,1
0,3
0,12
1,1
1,1
0,6
1,17
0,3
0,5
0,2
0,9
1,1
1,1
1,1
1,6
0,3
0,2
1,10
1,1
0,2
0,3
0,4
0,3
0,3
0,3
1,2
0,5
0,8
1,1
1,1
0,4
0,4
0,2
0,2
0,2
0,1
1,3
0,1
0,8
1,8
0,4
1,1
1,8
1,1
1,5
0,2
0,4
1,2
1,2
0,3
0,6
0,1
0,2
0,6
0,3
0,1
1,5
0,7
1,1
1,1
0,2
1,1
1,1
0,4
0,1
1,5
0,2
0,8
1,2
1,7
1,1
1,1
1,2
1,5
0,2
1,2
0,7
0,3
1,1
1,1
0,3
0,7
0,3
1,9
0,1
1,1
0,1
0,4
0,3
0,6
1,1
0,9
0,1
1,2
0,1
0,1
0,2
0,5
0,1
1,3
1,1
0,3
0,3
0,1
0,4
0,2
0,14
0,1
0,3
1,2
0,5
1,1
1,1
1,1
0,10
1,1
0,5
1,2
0,4
1,7
1,3
1,1
0,17
1,4
0,12
1,5
1,2
1,2
0,1
1,2
1,2
1,1
1,4
1,3
0,10
0,4
0,15
1,1
1,8
0,2
1,1
1,4
1,1
1,1
0,3
0,3
1,4
1,1
0,5
1,1
0,3
1,3
0,3
0,3
1,1
1,5
0,3
1,1
1,2
1,1
1,1
0,4
1,1
1,1
1,2
0,11
0,1
1,6
1,1
1,1
1,7
0,5
0,11
1,1
0,1
0,1
0,3
1,2
1,1
0,6
0,3
0,2
1,8
1,2
1,1
0,2
1,1
1,1
0,3
1,3
0,1
0,3
1,4
1,6
1,1
0,7
1,6
0,1
0,3
1,2
0,4
1,1
1,2
1,4
1,16
0,8
0,2
0,3
1,1
0,2
0,2
1,2
0,1
0,3
1,5
1,2
1,1
1,10
1,3
1,1
1,1
0,2
1,2
0,2
1,6
1,4
0,4
0,6
1,3
1,1
1,6
0,2
1,1
0,3
0,1
0,1
1,1
1,2
1,1
0,6
0,1
0,6
0,8
0,2
0,3
0,9
1,3
0,1
0,4
1,7
0,3
0,3
0,1
1,5
0,11
0,7
0,1
1,3
1,2
0,2
1,3
0,1
1,1
1,2
1,5
1,8
0,2
1,6
1,1
1,1
0,2
0,7
0,2
0,9
1,1
1,3
1,1
1,5
1,1
0,1
1,6
1,1
0,1
1,3
1,5
1,4
0,8
1,3
1,1
0,2
1,1
1,15
0,2
1,1
1,2
1,10
1,7
0,1
1,1
0,4
1,4
1,4
0,6
1,3
1,1
0,2
0,4
1,1
1,5
1,2
0,3
1,2
0,4
0,4
1,1
0,1
0,2
1,1
0,1
0,1
0,3
1,1
1,2
1,3
0,1
0,8
0,3
1,5
1,1
1,4
1,3
1,1
1,2
0,17
0,2
0,1
1,1
0,2
0,2
1,1
0,3
0,4
1,4
1,3
1,3
1,1
0,3
1,1
1,4
1,5
1,4
1,3
0,1
0,1
0,15
0,2
1,13
1,1
1,4
1,4
1,1
1,3
0,6
0,6
0,3
0,2
0,1
0,6
0,1
0,3
0,2
1,3
0,5
1,7
0,8
1,1
0,7
1,3
0,2
1,12
0,4
1,2
1,1
0,3
0,6
0,1
1,1
0,20
1,1
0,2
1,1
1,5
1,1
1,8
0,3
0,2
0,6
0,6
1,2
1,2
1,3
0,11
1,1
0,1
1,5
0,4
0,8
1,5
0,7
0,1
0,2
0,1
0,3
0,4
1,2
0,2
0,3
1,7
1,5
1,1
1,7
0,3
0,3
1,7
0,1
1,3
1,4
0,2
1,2
1,3
1,2
1,12
0,5
1,1
0,2
0,5
0,2
0,2
0,1
0,8
1,5
1,1
0,6
0,5
0,3
0,3
1,4
0,2
0,1
0,4
1,1
1,5
1,1
0,2
0,3
1,9
1,3
1,1
0,3
1,5
0,10
1,5
1,4
0,6
0,2
0,3
1,1
1,4
0,9
1,1
1,4
0,2
1,2
1,1
1,1
0,2
1,5
1,2
1,5
1,1
0,2
1,6
0,1
0,3
0,3
0,6
1,1
0,2
1,3
1,2
0,3
0,4
0,1
1,1
0,4
0,4
0,1
0,2
1,3
1,1
1,11
1,5
0,1
0,4
0,7
1,4
0,6
1,2
1,3
0,5
0,8
0,4
1,1
1,6
0,2
1,2
0,2
0,2
1,5
0,2
1,4
1,1
1,2
0,4
0,3
0,1
0,5
1,2
1,1
0,2
1,3
0,1
1,1
1,1
0,16
0,1
0,2
0,6
1,1
1,1
0,6
0,7
0,2
0,2
1,3
1,1
0,1
1,2
1,1
0,2
1,5
1,1
0,3
0,3
0,11
1,1
0,1
1,2
0,5
1,1
1,4
1,2
0,1
0,7
1,1
1,2
1,1
1,1
1,3
0,1
0,3
0,3
0,1
0,9
0,5
0,6
1,1
1,1
0,3
0,2
0,2
0,3
0,1
1,2
1,1
0,2
1,1
0,5
1,3
1,4
0,1
1,1
0,9
1,7
1,3
1,8
0,6
0,4
1,1
0,1
1,9
1,1
1,1
1,2
0,2
0,1
0,2
0,3
0,3
0,3
1,1
1,2
1,1
0,2
0,3
1,2
0,4
0,4
1,3
1,1
1,2
1,2
1,1
0,5
0,4
1,2
1,1
0,5
1,1
1,1
0,2
0,9
1,1
0,1
1,1
0,2
1,3
1,4
1,2
1,1
1,2
0,1
1,2
0,1
0,4
1,7
1,1
1,3
0,1
0,12
1,3
0,1
1,2
1,1
0,3
1,1
0,3
0,2
0,1
0,10
1,1
0,2
0,4
0,2
1,8
1,1
0,3
1,2
0,3
1,5
1,3
1,4
0,8
1,1
0,3
0,3
0,4
0,2
0,2
1,2
1,6
0,1
0,6
0,5
0,3
0,5
0,5
1,7
1,9
0,10
1,5
1,4
0,3
0,5
1,1
0,4
0,1
1,5
0,5
0,2
1,3
1,4
1,1
0,2
0,5
1,4
1,3
0,1
0,2
0,5
0,21
0,1
0,2
1,4
0,4
0,3
1,5
1,5
0,1
0,2
0,1
0,1
0,5
1,1
0,1
1,1
1,3
0,6
1,1
0,8
0,1
1,1
0,1
1,1
1,3
1,1
1,1
1,6
0,2
0,5
1,1
0,8
0,1
1,9
0,4
1,5
0,2
1,1
1,1
0,1
1,1
1,5
0,7
1,2
0,6
1,2
1,1
0,4
0,3
1,3
1,1
1,1
1,1
0,18
0,3
1,3
1,7
1,1
1,4
1,1
0,6
0,3
0,2
1,2
0,2
1,2
0,1
0,1
0,4
0,2
1,1
0,1
1,4
0,4
0,5
1,1
0,1
0,9
1,4
1,15
0,2
1,5
0,3
1,1
1,1
0,4
0,5
1,5
0,5
0,1
0,3
1,4
1,9
1,6
0,3
1,2
0,4
1,10
1,1
1,4
0,2
0,2
1,1
0,1
1,3
1,2
1,10
0,3
1,1
1,1
0,1
1,4
0,3
0,2
1,1
1,1
0,3
0,4
0,5
1,1
0,1
1,1
1,7
1,1
0,1
1,1
1,1
1,3
1,1
0,3
0,7
0,12
0,1
1,1
1,1
0,2
1,5
0,1
0,2
1,1
1,1
1,4
1,1
1,1
0,3
0,2
0,6
1,2
0,4
0,11
0,1
0,1
0,2
1,3
0,4
0,2
0,7
0,1
1,1
0,1
0,1
1,5
1,3
0,6
1,3
1,1
0,2
0,4
1,4
0,9
0,7
0,1
1,2
1,5
0,2
1,7
0,11
1,1
1,1
1,6
0,12
1,3
1,1
1,8
1,2
1,1
1,1
0,1
1,3
0,3
1,1
0,3
0,2
0,3
1,1
1,3
0,5
1,1
0,1
0,8
0,1
1,1
0,2
1,3
1,1
0,4
1,1
0,1
1,1
0,1
1,5
1,1
1,4
1,1
0,3
1,2
0,7
0,12
0,12
0,2
0,1
1,1
1,5
1,6
1,1
0,3
0,8
0,2
0,2
1,1
0,5
1,1
0,1
0,1
0,1
1,4
1,1
1,1
1,2
0,1
1,2
0,6
1,4
0,3
0,1
0,3
0,5
0,3
1,1
1,4
0,5
1,1
1,1
0,5
0,2
1,2
0,4
1,1
1,1
1,3
1,1
0,3
0,10
1,6
0,4
0,1
1,5
0,7
0,6
0,5
1,3
0,22
1,3
0,4
0,1
1,3
0,1
0,5
0,2
0,1
0,2
1,4
1,11
1,1
0,4
0,9
1,8
0,2
1,1
1,3
0,1
0,4
1,1
1,8
1,1
0,1
0,7
1,4
1,4
0,4
0,3
1,1
0,3
1,11
0,2
0,2
0,2
0,2
0,2
1,4
1,1
1,1
0,3
0,1
1,1
1,1
1,2
0,1
0,1
1,5
0,3
0,5
1,1
0,2
1,1
0,5
1,3
0,6
1,7
0,7
1,1
1,3
0,3
1,4
1,1
0,4
1,1
1,1
0,3
0,1
0,6
1,5
1,3
1,5
1,1
0,9
1,5
0,2
0,10
1,2
1,1
0,4
1,5
0,1
0,2
1,4
0,1
1,9
0,6
1,1
0,1
0,2
1,3
0,3
0,10
1,2
0,6
0,6
0,3
0,2
1,2
0,2
0,7
0,1
0,2
0,4
1,1
1,1
0,11
1,2
0,15
1,1
0,2
1,7
1,6
1,1
0,6
1,1
0,4
1,2
0,2
0,3
1,1
1,2
0,1
0,1
1,5
0,1
0,2
1,3
0,2
0,2
0,5
1,4
1,6
0,4
1,3
1,1
1,4
0,1
0,5
0,2
0,6
0,12
0,7
1,4
0,10
1,1
0,5
0,2
1,1
0,5
1,1
1,1
1,2
0,7
0,7
0,2
0,4
0,1
0,4
0,2
0,3
0,3
0,1
1,1
0,1
1,4
1,1
0,2
0,1
1,2
1,1
0,2
1,1
0,2
1,1
1,1
0,6
1,1
1,3
1,2
0,1
0,4
0,1
1,4
1,1
1,4
0,4
0,1
0,1
0,2
0,4
0,7
1,3
1,9
1,1
0,3
1,1
0,2
0,4
0,3
0,7
1,1
0,23
1,3
0,2
1,1
1,1
0,5
1,1
0,2
1,2
1,1
0,8
0,2
0,3
1,7
0,5
0,5
1,1
1,3
1,9
1,1
1,1
0,3
0,10
1,1
0,4
1,5
0,2
0,6
1,1
1,1
1,2
1,4
1,1
0,4
0,5
0,1
1,2
0,7
1,1
1,2
1,1
1,1
1,1
1,3
0,5
1,1
1,1
0,3
0,8
1,2
0,4
0,3
0,4
0,3
0,5
1,3
1,3
1,2
0,3
1,1
0,3
0,3
1,1
0,2
1,3
1,2
1,1
1,1
1,3
1,5
1,2
1,8
0,2
0,2
0,2
1,3
0,1
0,2
1,1
1,3
0,1
0,5
1,1
0,1
0,1
0,1
0,5
0,6
1,1
0,6
1,13
0,3
1,1
0,10
0,5
1,1
0,3
1,1
0,1
0,10
0,6
0,4
1,2
1,9
1,4
1,1
1,3
1,6
1,1
1,1
1,1
0,6
1,1
0,6
1,2
0,5
0,8
0,7
0,1
0,4
1,7
1,7
1,2
0,3
1,1
0,3
0,11
0,1
0,5
0,3
0,4
1,3
1,5
0,1
1,8
0,4
1,1
0,5
1,8
1,1
1,12
0,8
1,1
1,4
1,1
0,2
1,1
0,3
0,1
1,1
0,1
1,3
0,4
0,3
1,1
0,6
0,2
1,10
1,1
0,5
0,2
0,6
0,2
1,4
0,1
0,2
0,3
0,1
0,1
0,4
0,3
1,1
0,3
0,1
1,7
0,3
1,1
0,5
1,3
1,2
0,1
1,1
1,3
0,3
0,8
1,1
0,4
1,3
1,1
0,2
0,2
0,3
1,1
0,1
0,8
0,1
1,1
0,2
1,1
0,2
0,3
1,1
1,1
0,4
1,3
1,1
0,1
0,3
1,1
1,12
1,1
0,3
1,4
1,4
1,1
0,8
0,2
1,1
1,2
0,2
0,1
0,2
0,1
0,8
0,1
0,6
1,1
1,5
0,2
1,1
1,1
1,6
0,5
1,1
1,7
0,2
1,9
0,9
1,3
0,4
1,2
1,1
0,1
0,4
1,5
0,2
0,2
0,2
1,6
0,9
0,1
1,8
1,3
0,1
0,2
0,1
0,3
1,2
1,6
0,4
0,2
0,1
0,10
1,1
1,1
1,4
0,5
0,3
1,1
0,1
1,4
1,16
1,1
1,3
1,1
1,1
0,8
0,3
0,2
0,2
1,8
1,2
0,2
0,4
0,1
0,2
1,16
1,2
1,1
1,3
0,1
1,1
0,4
1,3
1,1
1,12
0,1
1,3
0,11
0,2
1,1
0,1
0,2
0,4
0,1
1,3
0,2
1,1
1,3
1,6
0,11
1,1
0,1
1,3
0,7
1,1
1,1
0,1
1,1
0,7
0,1
1,4
0,10
0,4
1,1
1,6
1,1
0,3
0,5
0,3
1,4
1,3
0,15
1,1
1,9
1,1
0,2
1,1
1,1
1,2
0,1
1,1
1,4
1,9
0,2
0,11
1,1
0,2
1,2
1,1
0,1
1,1
0,4
1,2
1,1
0,9
0,6
1,7
1,2
1,1
0,2
0,2
1,2
0,1
0,2
1,3
1,4
0,1
1,1
0,8
0,2
0,2
1,11
0,4
0,4
0,1
1,3
0,5
1,1
0,1
1,1
0,4
1,1
0,1
1,1
0,2
1,5
0,1
0,5
0,2
1,1
0,3
1,3
1,3
0,2
0,2
1,4
1,2
1,1
0,1
0,3
1,2
1,2
1,1
0,2
0,16
1,3
1,8
0,1
1,4
1,1
0,9
0,1
1,2
0,3
1,2
1,1
1,1
1,4
0,2
1,1
1,5
0,9
0,8
0,2
1,10
1,4
1,2
1,1
0,4
0,2
1,4
1,4
0,3
0,7
1,2
0,1
1,1
1,4
1,2
1,2
1,1
1,9
0,3
1,1
0,3
1,4
0,4
0,1
0,2
0,4
0,12
0,2
0,4
0,4
1,1
0,1
1,3
1,4
1,3
0,3
1,3
1,1
0,4
1,1
1,1
1,7
0,3
0,1
0,5
1,1
1,1
0,2
0,2
1,3
0,3
0,1
0,9
1,5
0,2
1,2
0,2
0,5
0,3
1,11
0,5
0,2
1,1
1,1
1,1
1,1
1,2
0,6
1,1
0,11
1,4
1,2
0,4
1,12
1,1
0,2
1,9
0,4
1,7
0,6
1,1
0,2
0,2
1,2
1,1
0,1
0,1
0,4
1,9
0,11
1,3
1,1
1,10
0,5
0,1
1,2
0,3
1,3
0,1
0,4
0,1
1,4
0,1
1,3
0,4
1,1
1,5
1,1
1,9
1,1
1,1
0,13
0,2
1,3
1,1
0,2
0,1
1,2
0,2
1,1
0,10
0,2
0,1
1,1
0,3
0,3
1,1
0,13
0,2
0,8
0,2
1,1
0,6
1,3
0,7
0,15
1,1
0,4
0,3
1,2
0,10
0,5
0,1
1,1
1,1
1,2
0,2
1,2
0,1
0,4
0,1
1,1
1,2
0,4
1,5
1,5
0,2
0,3
1,1
0,2
0,3
0,17
1,3
1,5
0,1
0,7
1,6
1,1
0,6
0,1
0,8
0,6
1,7
1,1
1,4
1,1
0,1
1,1
1,1
1,1
0,2
1,5
0,6
1,3
0,2
1,7
0,10
0,9
1,2
0,4
0,3
0,6
0,2
1,1
0,2
0,3
1,1
1,1
1,1
1,3
0,2
0,4
1,1
1,5
0,4
1,1
0,3
1,2
1,1
1,1
1,1
0,2
1,3
1,2
0,4
0,1
1,1
0,4
0,2
1,1
1,1
1,5
1,4
0,8
1,2
0,7
1,5
0,2
0,1
0,6
0,4
0,1
0,2
0,5
1,2
1,4
0,7
0,2
1,1
1,1
0,3
1,3
0,4
1,11
1,5
0,1
1,1
0,1
0,1
1,1
0,4
1,1
1,8
1,4
1,1
0,14
1,3
0,8
0,1
1,3
1,4
0,5
0,14
1,6
0,1
1,2
0,6
1,9
1,1
1,4
0,3
0,4
0,1
1,3
0,1
1,2
0,3
0,3
1,1
1,6
0,10
1,6
0,4
1,5
0,1
0,1
0,6
0,9
1,5
0,8
0,6
1,1
0,3
1,2
0,8
1,4
0,3
1,25
1,2
0,3
1,4
0,6
1,1
1,1
1,3
0,4
1,9
0,5
1,5
1,6
0,1
1,2
0,3
1,1
1,1
1,1
0,6
1,3
1,1
0,7
1,2
1,2
1,1
1,1
0,1
1,1
0,3
0,1
0,1
1,1
1,2
1,20
0,8
0,1
1,1
1,2
1,2
0,6
1,1
1,5
1,1
1,5
0,2
1,1
1,6
0,2
0,3
0,1
0,5
1,2
1,5
0,2
1,1
0,7
0,6
0,2
0,4
1,5
1,3
0,4
0,1
0,3
0,1
1,1
0,2
0,3
0,1
1,2
0,11
1,1
1,4
1,1
0,1
1,1
0,2
1,2
0,2
1,1
0,13
0,1
0,2
0,6
0,3
1,1
0,2
0,2
0,1
0,1
1,4
0,5
1,1
1,8
0,3
0,1
0,1
1,5
1,3
0,3
1,1
0,6
0,3
1,2
1,2
0,6
1,4
1,4
1,1
0,3
0,3
1,1
1,1
0,3
1,6
0,2
1,1
0,3
0,4
0,1
0,1
1,1
0,7
1,6
0,2
1,1
1,4
1,1
1,3
1,9
0,15
1,4
0,4
0,9
1,2
0,2
1,1
1,1
0,1
1,2
0,2
1,3
0,1
1,3
0,6
0,2
0,5
1,5
1,1
1,1
1,1
1,1
0,5
1,2
1,1
0,5
0,2
1,2
1,12
0,2
0,4
1,1
0,3
0,1
0,1
1,8
1,1
1,7
0,3
0,2
1,11
0,8
0,3
0,2
1,1
1,1
0,6
0,1
1,13
1,1
1,1
0,2
1,4
1,1
0,7
1,1
1,3
1,2
0,1
0,1
0,2
0,2
0,1
1,6
1,1
1,1
1,4
0,5
0,1
1,2
1,1
1,1
0,3
1,3
0,2
1,1
1,1
1,1
0,1
0,4
1,3
1,3
0,9
0,1
1,1
0,2
0,3
1,5
0,1
0,2
1,1
0,11
1,10
0,3
0,3
1,6
0,1
0,4
0,5
1,2
1,3
0,4
0,3
0,4
1,6
1,13
1,5
1,1
1,3
1,1
1,1
1,7
0,6
0,8
0,2
1,1
1,1
0,2
0,2
0,1
0,2
0,9
0,2
0,6
0,7
0,3
0,1
0,6
0,3
1,1
1,3
1,4
0,2
0,7
1,3
1,11
0,4
1,1
1,1
1,6
0,2
1,1
0,2
0,1
1,1
1,3
0,5
0,7
0,1
0,5
1,4
0,1
1,1
1,1
1,6
1,1
0,5
0,8
0,1
1,5
0,2
0,8
0,9
1,1
0,2
1,1
0,1
1,3
0,6
0,5
1,3
1,6
0,8
1,2
1,2
0,1
1,9
0,2
1,3
1,4
1,1
1,1
1,3
1,1
1,1
1,2
1,1
0,3
1,12
1,1
0,8
1,3
0,5
1,1
1,4
0,10
1,6
1,1
0,1
0,17
0,1
1,1
1,1
1,4
0,1
0,1
0,12
1,1
